country,Internet users
China,751886119
India,446759327
United States of America,285519020
Brazil,140908998
Russia,114920477
Japan,106725643
Indonesia,104563108
Nigeria,85450052
Mexico,82843369
Germany,72202773
Vietnam,68267875
Philippines,63588975
United Kingdom,61784878
Iran,58117322
Turkey,57725143
France,55265718
South Korea,49309955
Egypt,46644728
Italy,46305301
Spain,42478990
Thailand,38987531
Pakistan,34734689
Canada,33743954
Argentina,33203320
South Africa,31107064
Saudi Arabia,30877318
Colombia,29990017
Poland,29791401
Ukraine,25883509
Malaysia,25829444
Algeria,24819531
Bangladesh,23917950
Morocco,22596729
Taiwan,21845944
Australia,21419302
Venezuela,21354499
Ethiopia,19118470
Iraq,18364390
Burma,17064985
Peru1,6461427
Netherlands,16243928
Uzbekistan,15705402
Romania,15165890
Kazakhstan,14789448
Chile,14757868
Tanzania,13862836
Sudan,13311404
Cote d'Ivoire,12295204
Ghana,10959964
Guatemala,10777827
Belgium,10258638
Nepal,10103980
Uganda,9620681
United Arab Emirates,9550945
Ecuador,9448692
Sweden,9251773
Kenya,9129243
Czechia,8622750
Democratic Republic of the Congo,8231357
Azerbaijan,8017120
Greece,7783381
Portugal,7731411
Austria,7712665
Dominican Republic,7705529
Sri Lanka,7700876
Yemen,7659884
Belarus,7539145
Hungary,7474413
Switzerland,7437820
Tunisia,7392242
Jordan,6985174
Senegal,6909635
Israel,6873037
Cambodia,6579808
Hong Kong,6450167
Cuba,6353020
Cameroon,6089200
Syria,6077510
Denmark,5672398
Singapore,5286665
Serbia,5192501
Norway,5183627
Bolivia,4955569
Finland,4922163
Lebanon,4769039
Afghanistan,4717013
Bulgaria,4571851
Paraguay,4566043
Slovakia,4391969
Angola,4353033
New Zealand,4340672
Ireland,4283516
Zimbabwe,3796618
Costa Rica,3694974
Haiti,3503006
Burkina Faso,3158834
Georgia,3151218
Croatia,3104212
Kuwait,2904801
Mozambique,2855670
Honduras,2853505
Oman,2801932
Malawi,2734305
Bosnia and Herzegovina,2699544
Gaza Strip,2673000
West Bank,2673000
Rwanda,2653197
Moldova,2616792
Madagascar,2516994
Benin,2403596
Mali,2395886
Qatar,2355297
Zambia,2351646
Puerto Rico,2326006
Uruguay,2300557
Lithuania,2226806
Kyrgyzstan,2222732
Panama,2199433
Albania,2196613
El Salvador,2153776
Guinea,2133974
Armenia,1966942
Tajikistan,1889632
Laos,1845437
Kosovo,1706150
Nicaragua,1695340
Macedonia,1677569
Slovenia,1676445
Latvia,1607711
Jamaica,1548618
Libya,1440859
Bahrain,1423039
Gabon,1313802
Namibia,1291944
Turkmenistan,1149840
Estonia,1111896
Niger,1110778
Botswana,1057079
Cyprus,1044473
Chad,1029153
Togo,1010609
Trinidad and Tobago,939967
South Sudan,814326
Mauritius,799470
Mauritania,798809
Papua New Guinea,787764
Mongolia,735823
Luxembourg,587955
Lesotho,569114
Sierra Leone,568099
Eswatini,510984
Macau,508052
Djibouti,492221
Fiji,462860
Montenegro,439311
Republic of the Congo,437865
Brunei,426234
The Gambia,406918
Liberia,383819
Bhutan,368714
Malta,365521
Timor-Leste,363398
Iceland,340117
Cabo Verde,330623
Burundi,298684
Suriname,292685
The Bahamas,282739
Guyana,276498
Central African Republic,249336
Maldives,248004
Barbados,239664
New Caledonia,231887
Somalia,225181
French Polynesia,211101
Equatorial Guinea,209253
Belize,181660
Guam,135073
Aruba,113277
Curacao,102359
Saint Lucia,84112
Solomon Islands,78686
Andorra,78483
Eritrea,78215
Vanuatu,74083
Antigua and Barbuda,72870
Guinea-Bissau,72047
Bermuda,70016
Comoros,69635
Virgin Islands,68872
Samoa,67662
Grenada,66281
Sao Tome and Principe,61193
Jersey,58000
Seychelles,55616
Guernsey,55050
Dominica,51538
Faroe Islands,49783
Cayman Islands,48328
Tonga,43889
Saint Kitts and Nevis,42852
Greenland,40084
Liechtenstein,37815
Federated States of Micronesia,36586
Monaco,29821
Marshall Islands,29290
Gibraltar,27823
British Virgin Islands,27818
Saint Vincent and the Grenadines,22803
San Marino,20328
American Samoa,17000
Northern Mariana Islands,16000
Kiriba,15946
Anguilla,14211
Palau,7650
Nauru,5524
Tuvalu,5498
Cook Islands,4881
Saint Pierre and Miquelon,4500
Antarctica,4400
Wallis and Futuna,3450
Falkland Islands (Islas Malvinas),3000
Montserrat,2860
Saint Helena Ascension and Tristan da Cunha,1800
Saint Martin,1100
Niue,1090
Tokelau,805
Christmas Island,790
Norfolk Island,765
Pitcairn Islands,54
