country,public debt
Japan,237.60
Greece,181.80
Barbados,157.30
Lebanon,146.80
Italy,131.80
Eritrea,131.20
Republic of the Congo,130.80
Cabo Verde,125.80
Portugal,125.70
Sudan,121.60
Singapore,111.10
Bhutan,106.30
Belgium,103.40
Egypt,103.00
Mozambique,102.10
Jamaica,101.00
Belize,99.00
Spain,98.40
Cyprus,97.50
France,96.80
Mauritania,96.60
Jordan,95.90
Syria,94.80
Mongolia,91.40
Canada,89.70
Bahrain,88.50
Sao Tome and Principe,88.40
The Gambia,88.00
United Kingdom,87.50
Antigua and Barbuda,86.80
Aruba,86.00
Brazil,84.00
Dominica,82.70
Zimbabwe,82.30
Sri Lanka,79.10
United States of America,78.80
Austria,78.60
Croatia,77.80
Somalia,76.70
Togo,75.70
Yemen,74.50
Saint Vincent and the Grenadines,73.80
Hungary,73.60
Slovenia,73.60
Albania,71.80
Ghana,71.80
India,71.20
Ukraine,71.00
Saint Lucia,70.70
Grenada,70.40
Tunisia,70.30
Suriname,69.30
Ireland,68.60
El Salvador,67.90
Montenegro,67.20
Pakistan,67.00
Uruguay,65.70
Morocco,65.10
Angola,65.00
Mauritius,64.00
Germany,63.90
Maldives,63.90
Sierra Leone,63.90
Laos,63.60
Seychelles,63.60
Zambia,63.10
Saint Kitts and Nevis,62.90
Gabon,62.70
South Sudan,62.70
Serbia,62.50
Nauru,62.00
Finland,61.30
Israel,60.90
Iraq,59.70
Malawi,59.20
Vietnam,58.50
Argentina,57.60
Netherlands,56.50
Kyrgyzstan,56.00
The Bahamas,54.60
Benin,54.60
Mexico,54.30
Ethiopia,54.20
Kenya,54.20
Azerbaijan,54.10
Malaysia,54.10
Guinea-Bissau,53.90
Qatar,53.80
Armenia,53.50
Belarus,53.40
Virgin Islands,53.30
South Africa,53.00
Central African Republic,52.90
Chad,52.50
Guyana,52.20
Burundi,51.70
Puerto Rico,51.60
Slovakia,50.90
Malta,50.70
Poland,50.60
Tajikistan,50.40
Colombia,49.40
Samoa,49.10
Bolivia,49.00
Costa Rica,48.90
Fiji,48.90
Vanuatu,48.40
Senegal,48.30
Tonga,48.00
Cuba,47.70
China,47.00
Cote d'Ivoire,47.00
Oman,46.90
Ecuador,45.40
Niger,45.30
Georgia,44.90
Bermuda,43.00
Thailand,41.90
Switzerland,41.80
Trinidad and Tobago,41.80
Namibia,41.30
Andorra,41.00
Australia,40.80
Sweden,40.80
Rwanda,40.50
Iceland,40.00
Uganda,40.00
Philippines,39.90
Lithuania,39.70
Bosnia and Herzegovina,39.50
Honduras,39.50
Iran,39.50
South Korea,39.50
Macedonia,39.30
Venezuela,38.90
Burkina Faso,38.10
Guinea,37.90
Panama,37.80
Equatorial Guinea,37.40
Dominican Republic,37.20
Tanzania,37.00
Tuvalu,37.00
Cameroon,36.90
Papua New Guinea,36.90
Romania,36.80
Norway,36.50
Latvia,36.30
Madagascar,36.00
Taiwan,35.70
Mali,35.40
Denmark,35.30
Faroe Islands,35.00
Czechia,34.70
Liberia,34.40
Lesotho,33.70
Burma,33.60
Nicaragua,33.30
Curacao,33.20
Bangladesh,33.10
Comoros,32.40
Djibouti,31.80
New Zealand,31.70
Moldova,31.50
Haiti,31.10
Cambodia,30.40
Indonesia,28.80
Turkmenistan,28.80
Eswatini,28.40
Turkey,28.30
Algeria,27.50
Nepal,26.40
Kiribati,26.30
Marshall Islands,25.50
Peru,25.40
Guatemala,24.70
Federated States of Micronesia,24.50
West Bank,24.40
Uzbekistan,24.30
Palau,24.10
San Marino,24.10
Bulgaria,23.90
Chile,23.60
Luxembourg,23.00
Guam,22.10
Nigeria,21.80
Kosovo,21.20
Kazakhstan,20.80
Kuwait,20.60
Anguilla,20.10
United Arab Emirates,19.70
Paraguay,19.50
Democratic Republic of the Congo,18.10
Saudi Arabia,17.20
Russia,15.50
Botswana,14.00
Greenland,13.00
American Samoa,12.20
Solomon Islands,9.40
Estonia,9.00
Gibraltar,7.50
Northern Mariana Islands,7.10
Afghanistan,7.00
New Caledonia,6.50
Wallis and Futuna,5.60
Libya,4.70
Timor-Leste,3.80
Brunei,2.80
Hong Kong,0.10
Falkland Islands (Islas Malvinas),0.00
Macau,0.00
